division_name,depot_name,route_code,device_imei,event_location,event_date,speed,ignition_status,gps_status,main_battery_status,vehicle_status,running_status,vehicle_reg_no
SOLAPUR,PANDHARPUR,,8.67322E+14,PANDHARPUR Depot,57:19.0,0,1,1,1,ON ROAD,"locationEvent,stopEvent",MH12EF6388
DHULE,DHULE,,8.69247E+14,"NH53, Murtijapur, Akola, Maharashtra, 444107, India",57:16.0,0,0,1,1,ON ROAD,locationEvent,MH20BL3421
NASIK,SATANA,,8.67322E+14,"NH52, Nagaon Budruk, Dhule, Maharashtra, India",57:13.0,60.2,1,1,1,ON ROAD,locationEvent,MH14BT0845
NASIK,SATANA,,8.67322E+14,"NH52, Savalde, Dhule, Maharashtra, India",57:13.0,73.5,1,1,1,ON ROAD,"locationEvent,speedViolationAlert",MH14BT4501
NASIK,KALWAN,,8.67322E+14,"NH160, Ambad, Octroi Naka, ?????, Nashik, Maharashtra, 422010, India",57:13.0,63.6,1,1,1,ON ROAD,locationEvent,MH14BT3633
PUNE,NARAYANGAON,,8.62818E+14,"NH61, Takli Dhokeshwar, Ahmadnagar, Ahmednagar, Maharashtra, 414304, India",57:13.0,54.8,1,1,1,ON ROAD,locationEvent,MH14BT3390
PUNE,SASWAD,,8.62818E+14,"NH752I;753F, Cantonment, Aurangabad, Maharashtra, 431002, India",57:12.0,0,0,1,1,ON ROAD,locationEvent,MH14BT4954
PUNE,SASWAD,,8.62818E+14,"NH753C, Shelu, Washim, Maharashtra, 444402, India",57:12.0,57.5,0,1,1,ON ROAD,locationEvent,MH14BT4197
DHULE,DHULE,,8.69247E+14,"NH53, Bazargaon, Nagpur, Maharashtra, 441103, India",57:11.0,71.4,1,1,1,ON ROAD,"harshAccelerateAlert,speedViolationAlert,speedViolationStartAlert,locationEvent",MH20BL3462
PUNE,BHOR,,8.62818E+14,"NH753A;548CC, Chikhli, Buldhana, Maharashtra, 443200, India",57:11.0,48.3,1,1,1,ON ROAD,"locationEvent,harshBrakingAlert",MH40N9345
MUMBAI,URAN,,8.62818E+14,"Panvel Bus Station, Panvel Flyover, New Panvel, Panvel, Kulaba, Raigad, Maharashtra, 410206, India",57:11.0,0,0,1,0,ON ROAD,locationEvent,MH14BT4451
OSMANABAD,OMERGA,,8.69247E+14,"Umarga, Osmanabad, Maharashtra, 413606, India",57:10.0,0,0,1,1,ON ROAD,"locationEvent,stopEvent",MH13CU6848
AHMADNAGAR,SANGAMNER,,8.62818E+14,"Sangamner, Ahmadnagar, Ahmednagar, Maharashtra, 422605, India",57:10.0,0,1,1,1,ON ROAD,locationEvent,MH40Y5471
MUMBAI,MUMBAI CENTRAL,,8.69247E+14,"Mumbai Central, J Boman Behram Marg, E Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400008, India",57:10.0,0,1,1,1,ON ROAD,"locationEvent,ignitionOnAlert",MH13CU6582
NASIK,SATANA,,8.67322E+14,"Satana, ?????, Nashik, Maharashtra, 423300, India",57:09.0,0,1,1,1,ON ROAD,locationEvent,MH11BL9322
CHANDRAPUR,WARORA,,8.62818E+14,"NH44, Jamb, Wardha, Maharashtra, India",57:09.0,56.4,0,1,1,ON ROAD,"locationEvent,speedViolationEndAlert",MH31FC3695
PUNE,SWARGATE,,8.68996E+14,"State Highway 10, Bhabad Basti, Manmad, ?????, Nashik, Maharashtra, 423104, India",57:08.0,53.1,1,1,1,BREAK DOWN,locationEvent,MH06S8438
PUNE,SHIRUR,,8.62818E+14,"Sakoli, Bhandara, Bhandara, Maharashtra, 441802, India",57:08.0,0,0,1,0,ON ROAD,locationEvent,MH14BT3377
AHMADNAGAR,TARAKPUR,,8.69247E+14,"NH752G, Bhabad Basti, Manmad, ?????, Nashik, Maharashtra, 423104, India",57:07.0,24.2,1,1,1,ON ROAD,locationEvent,MH14BT5075
DHULE,AKKALKUWA,,8.69247E+14,"SH80, Vasal, Nizar Taluka, Tapi District, Gujarat, India",57:07.0,0,0,1,1,ON ROAD,locationEvent,MH13CU7487
AHMADNAGAR,SANGAMNER,,8.62818E+14,"Pune Nashik Road, Ghulewadi, Ahmadnagar, Ahmednagar, Maharashtra, India",57:07.0,28.1,1,1,1,ON ROAD,locationEvent,MH14BT3651
DHULE,DHULE,,8.69247E+14,"Dhule, Maharashtra, 424001, India",57:07.0,0,0,1,0,ON ROAD,locationEvent,MH20BL3470
THANE,THANE I,,8.67322E+14,"Kalyan Badlapur Road, Ulhasnagar, Thane, Maharashtra, 421002, India",57:07.0,26.6,1,1,1,ON ROAD,locationEvent,MH14BT4487
PUNE,BARAMATI,,8.62818E+14,"NH753A;752I, Jalna, Maharashtra, 431200, India",57:06.0,19.8,1,1,1,ON ROAD,locationEvent,MH14BT1558
DHULE,DHULE,,8.69247E+14,"NH52, Sarvad, Dhule, Maharashtra, 424309, India",57:06.0,0,1,1,1,ON ROAD,locationEvent,MH20BL2600
DHULE,NANDURBAR,,8.69247E+14,"NH53, Mukti, Dhule, Maharashtra, 425111, India",57:06.0,11.3,1,1,1,ON ROAD,"harshAccelerateAlert,locationEvent",MH13CU7982
NASIK,KALWAN,,8.67322E+14,"NH160, Ambad, Octroi Naka, ?????, Nashik, Maharashtra, 422010, India",57:06.0,59.3,1,1,1,ON ROAD,locationEvent,MH14BT4529
PUNE,CHINCHWAD,,8.67322E+14,CHINCHWAD Depot,57:06.0,9.2,1,1,1,ON ROAD,"locationEvent,emergencyWireCutAlert",MH14BT3365
AURANGABAD,AURANGABAD II,,8.69247E+14,"Jalgaon road, Aurangabad, Maharashtra, 431002, India",57:06.0,39.6,1,1,1,ON ROAD,locationEvent,MH20BL4076
