"division_name","depot_name","division_id","depot_id","route_code","device_imei","event_location","event_date","speed","ignition_status","gps_status","main_battery_status","vehicle_status","running_status","vehicle_reg_no"
"SOLAPUR","BARSHI","46","44"," ","862818047889938","BARSHI Depot","2020-06-27 01:33:33.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH20BL1841"
"NASIK","NASIK I","36","181"," ","867322031071178","NASIK I Depot","2020-06-27 01:31:39.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH15AK8003"
"THANE","BHIVANDI","51","48"," ","862818040285696","BHIVANDI Depot","2020-06-27 01:27:29.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH20BL3228"
"RATNAGIRI","RATNAGIRI","44","227"," ","862818041632995","RATNAGIRI Depot","2020-06-27 01:19:08.0","0","0","1","0","ON ROAD","stopEvent,locationEvent","MH20BL0542"
"NASIK","YEOLA","36","294"," ","867322030915334","YEOLA Depot","2020-06-27 01:18:01.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH14BT3332"
"PALGHAR","ARNALA","40","17"," ","862818040285951","NALASOPARA Depot","2020-06-27 00:53:53.0","0","1","2","1","ON ROAD","locationEvent,stopEvent","MH14BT2986"
"BEED","BEED","6","26"," ","869247044594080","BEED Depot","2020-06-27 00:51:22.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH07C7388"
"LATUR","LATUR","29","140"," ","862818041742133","Old Ausa Road, Deshpande Colony, Latur, Maharashtra, 413512, India","2020-06-27 00:50:51.0","0","0","1","1","OFF ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH14BT1426"
"KOLHAPUR","MALKAPOOR","25","155"," ","869247045924039","NH166, Malkapur, Shahuwadi, Kolhapur, Maharashtra, 415101, India","2020-06-27 00:45:24.0","0","0","1","0","ON ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH12CH7941"
"LATUR","LATUR","29","140"," ","862818041741556","Mitra Nagar, Latur, Maharashtra, 413512, India","2020-06-27 00:28:36.0","0","1","1","1","ON ROAD","stopEvent,locationEvent,unauthorizedStopAlert,tiltAlert","MH20BL2711"
"DHULE","DHULE","15","66"," ","869247044591524","Sakri, Dhule, Maharashtra, 424304, India","2020-06-27 00:23:57.0","0","1","1","1","ON ROAD","stopEvent,locationEvent,unauthorizedStopAlert","MH20BL1419"
"MUMBAI","URAN","32","277"," ","862818040353684","KURLA NEHRU NAGAR Depot","2020-06-27 00:20:54.0","0","0","1","0","ON ROAD","stopEvent,locationEvent","MH14BT4451"
"NASIK","KALWAN","36","137"," ","867322030782395","MDR4, Kalwan, नाशिक, Nashik, Maharashtra, 423500, India","2020-06-27 00:20:51.0","0","1","1","1","ON ROAD","unauthorizedStopAlert,stopEvent,locationEvent","MH20BL4185"
"PALGHAR","DAHANU","40","67"," ","862818047887403","NH548A, Savroli, Kulāba, Raigad, Maharashtra, 410202, India","2020-06-27 00:20:36.0","0","0","1","1","ON ROAD","locationEvent,unauthorizedStopAlert,stopEvent","MH20BL3113"
"SOLAPUR","BARSHI","46","44"," ","862818047887353","BARSHI Depot","2020-06-27 00:19:43.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH14BT2612"
"NASIK","MANMAD","36","157"," ","867322031129281","MANMAD Depot","2020-06-27 00:04:53.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH14BT0847"
"THANE","THANE I","51","262"," ","869247043477170","Kolse Wadi, Naupada, Thane, Maharashtra, 400606, India","2020-06-27 00:04:48.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU6556"
"DHULE","AKKALKUWA","15","8"," ","869247044642483","NH753B, Nizar Taluka, Nandubar, Gujarat, India","2020-06-27 00:04:41.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU7487"
"PALGHAR","PALGHAR","40","194"," ","869247044591029","PALGHAR Depot","2020-06-27 00:04:40.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH09EM9942"
"THANE","THANE II","51","263"," ","867322030790638","Shree Nateshwar Mahadev Mandir Marg, Dnyaneshwar Nagar, Naupada, Thane, Maharashtra, 400606, India","2020-06-27 00:04:13.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH14BT4922"
"MUMBAI","KURLA NEHRU NAGAR","32","124"," ","869247044676580","Chandan Nagar, S Ward, Zone 6, Mumbai, Mumbai Suburban, Maharashtra, 400083, India","2020-06-27 00:04:08.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH09EM9042"
"OSMANABAD","TULJAPUR","37","264"," ","862818047983103","TULJAPUR Depot","2020-06-27 00:03:52.0","0","0","1","1","ON ROAD","tiltAlert,locationEvent,stopEvent","MH20BL4236"
"SANGLI","KAVTHEMAHANKAL","45","119"," ","869247045902613","NH66, Dasgaon, Kulāba, Konkan Division, Maharashtra, 402102, India","2020-06-27 00:03:51.0","48.7","0","1","1","ON ROAD","locationEvent","MH40AQ6359"
"THANE","BHIVANDI","51","48"," ","869247044536917","BHIVANDI Depot","2020-06-27 00:03:32.0","5.7","1","1","1","ON ROAD","locationEvent","MH13CU7921"
"NANDED","NANDED ","35","176"," ","869247044595186","Waghala, Nanded-Waghala, Nānded, Nanded, Maharashtra, 431600, India","2020-06-27 00:03:27.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH09EM9058"
"NASIK","NANDGAON","36","177"," ","867322031196587","20.315967, 74.666767","2020-06-27 00:03:20.0","0","0","1","1","ON ROAD","stopEvent,unauthorizedStopAlert,locationEvent","MH07C9338"
"RATNAGIRI","GUHAGAR","44","81"," ","869247043451761","GUHAGAR Depot","2020-06-27 00:03:15.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU6560"
"AHMADNAGAR","SHRIGONDA","4","251"," ","869247043469755","SHRIGONDA Depot","2020-06-27 00:03:11.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU6606"
"RATNAGIRI","LANJA","44","139"," ","869247045893218","NH66, Lanja, Ratnagiri, Maharashtra, India","2020-06-27 00:03:08.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH20BL2779"
"MUMBAI","PAREL MUMBAI","32","205"," ","869247044537147","Aparna, Road No 1, Sion Koliwada, F/N Ward, Zone 2, Mumbai, Mumbai City, Maharashtra, 400022, India","2020-06-27 00:03:08.0","43.1","1","1","1","ON ROAD","locationEvent","MH09EM9478"
"NANDED","NANDED ","35","176"," ","862818040324420","N.T.C.MILL - Bus Stop","2020-06-27 00:03:07.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH20BL1994"
"THANE","BHIVANDI","51","48"," ","869247044536859","BHIVANDI Depot","2020-06-27 00:03:04.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU7898"
"AURANGABAD","VAIJAPUR","5","282"," ","869247044591037","Vaijapur, Aurangabad, Maharashtra, 423700, India","2020-06-27 00:03:02.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU8114"
"THANE","THANE II","51","263"," ","867322031071228","THANE CBS - Bus Stop","2020-06-27 00:03:01.0","0","0","1","0","ON ROAD","stopEvent,locationEvent","MH20BL0023"
"THANE","SHAHAPUR","51","236"," ","862818041737067","N-2 Cidco, Chikalthana MIDC, Aurangabad, Maharashtra, 431002, India","2020-06-27 00:02:59.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH20BL2461"
"SANGLI","MIRAJ","45","164"," ","868996035031863","Chandanwadi, Miraj, सांगली, Sangli, Sangli district, Maharashtra, 416400, India","2020-06-27 00:02:59.0","0","1","1","1","ON ROAD","unauthorizedStopAlert,stopEvent,locationEvent","MH20D7964"
"OSMANABAD","OMERGA","37","186"," ","869247044614938","Umarga, Osmanabad, Maharashtra, 413606, India","2020-06-27 00:02:59.0","0","0","1","1","ON ROAD","locationEvent,unauthorizedStopAlert,stopEvent","MH13CU7385"
"SATARA","PHALTAN","50","195"," ","869247045925002","Union Bank, Ring Road, MSEB Colony, Phaltan, Satara, Maharashtra, 415523, India","2020-06-27 00:02:58.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT3539"
